pair,left,right,k_index,coordinate_fractional,band_index,left_eigenvalue_ha,right_eigenvalue_ha,left_occupation,right_occupation,group,occupation_classification_matches,raw_difference_ha,raw_difference_ev,raw_difference_mev,raw_difference_uev,global_reference_difference_ha,global_reference_difference_ev,global_reference_difference_mev,global_reference_difference_uev,mg_C_diagnostic_ha
D40_minus_C40,D40,C40,3,"[-0.125,-0.0625,0.1875]",4,-1.66065355160778,-1.660653551607781,1.0,1.0,occupied,True,8.881784197001252e-16,2.4168566033805128e-14,2.416856603380513e-11,2.4168566033805128e-08,,,,,
D40_minus_C40,D40,C40,3,"[-0.125,-0.0625,0.1875]",5,-1.65256156950032,-1.652561569500303,1.0,1.0,occupied,True,-1.687538997430238e-14,-4.592027546422974e-13,-4.592027546422974e-10,-4.5920275464229743e-07,,,,,
D40_minus_C40,D40,C40,3,"[-0.125,-0.0625,0.1875]",6,-1.652561498277793,-1.652561498277786,1.0,1.0,occupied,True,-6.8833827526759706e-15,-1.8730638676198975e-13,-1.8730638676198975e-10,-1.8730638676198975e-07,,,,,
D40_minus_C40,D40,C40,3,"[-0.125,-0.0625,0.1875]",7,-1.648886232173391,-1.648886232173399,1.0,1.0,occupied,True,7.993605777301127e-15,2.1751709430424615e-13,2.1751709430424616e-10,2.1751709430424616e-07,,,,,
D40_minus_C40,D40,C40,3,"[-0.125,-0.0625,0.1875]",8,-1.648886136360734,-1.648886136360748,1.0,1.0,occupied,True,1.4210854715202004e-14,3.8669705654088205e-13,3.8669705654088205e-10,3.8669705654088205e-07,,,,,
D40_minus_C40,D40,C40,3,"[-0.125,-0.0625,0.1875]",9,-0.1526754567802844,-0.1526754567802822,1.0,1.0,occupied,True,-2.220446049250313e-15,-6.042141508451281e-14,-6.042141508451282e-11,-6.042141508451281e-08,,,,,
D40_minus_C40,D40,C40,3,"[-0.125,-0.0625,0.1875]",10,-0.1526754540738851,-0.1526754540738832,1.0,1.0,occupied,True,-1.915134717478395e-15,-5.211347051039231e-14,-5.211347051039231e-11,-5.211347051039231e-08,,,,,
D40_minus_C40,D40,C40,3,"[-0.125,-0.0625,0.1875]",11,0.01289785856550275,0.01289785856551723,8.580687427382264e-37,8.580687427258131e-37,empty,True,-1.447973685397841e-14,-3.940137122737723e-13,-3.9401371227377227e-10,-3.940137122737723e-07,,,,,
D40_minus_C40,D40,C40,3,"[-0.125,-0.0625,0.1875]",12,0.01289789966172025,0.01289789966173525,8.580334800831421e-37,8.580334800702659e-37,empty,True,-1.500015389677145e-14,-4.0817498143420497e-13,-4.08174981434205e-10,-4.0817498143420497e-07,,,,,
D40_minus_C40,D40,C40,3,"[-0.125,-0.0625,0.1875]",13,0.03612563520711229,0.03612563520719068,7.011757047552132e-47,7.011757047002402e-47,empty,True,-7.838868443243996e-14,-2.1330647694054416e-12,-2.1330647694054416e-09,-2.1330647694054416e-06,,,,,
D40_minus_C40,D40,C40,3,"[-0.125,-0.0625,0.1875]",14,0.03612568906869119,0.03612568906877099,7.011379393417266e-47,7.011379392857699e-47,empty,True,-7.980421878883703e-14,-2.1715834215218185e-12,-2.1715834215218183e-09,-2.1715834215218184e-06,,,,,
D40_minus_C40,D40,C40,3,"[-0.125,-0.0625,0.1875]",15,0.05633940577636218,0.05633940577630726,1.167072519354213e-55,1.167072519418282e-55,empty,True,5.492134524942571e-14,1.4944859387309967e-12,1.4944859387309968e-09,1.4944859387309967e-06,,,,,
D40_minus_C40,D40,C40,3,"[-0.125,-0.0625,0.1875]",16,0.05633945322140049,0.05633945322132516,1.167017148867316e-55,1.167017148955229e-55,empty,True,7.533557111472078e-14,2.0499853236642366e-12,2.0499853236642365e-09,2.0499853236642365e-06,,,,,
