k_fractional,band,occupation,before_ha,after_ha,raw_delta_ha,before_gamma_reference_ha,after_gamma_reference_ha,gamma_reference_delta_ha
"[-0.5, -0.5, 0]",4,2.0,0.1254152083857949,0.1184596803433072,-0.006955528042487696,-0.1076979488881758,-0.1052372425316499,0.002460706356525899
"[-0.5, -0.5, 0]",5,0.0,0.2483782491126874,0.2452703862346344,-0.003107862878053008,0.015265091838716716,0.021573463359677303,0.006308371520960587
"[-0.5, -0.5, 0]",6,0.0,0.2483782846558342,0.2452703931305111,-0.003107891525323092,0.015265127381863502,0.021573470255554006,0.006308342873690503
"[-0.5, -0.5, 0]",7,0.0,0.5970152137519811,0.5898776260917602,-0.007137587660220879,0.3639020564780104,0.36618070321680307,0.002278646738792689
"[-0.5, -0.5, 0]",8,0.0,0.5970152308597676,0.589877628575459,-0.007137602284308597,0.3639020735857969,0.3661807057005019,0.0022786321147049704
"[-0.5, -0.5, -0.5]",1,2.0,-0.1224947850731101,-0.1304271962334397,-0.007932411160329611,-0.3556079423470808,-0.3541241191083968,0.0014838232386840122
"[-0.5, -0.5, -0.5]",2,2.0,-0.0277902141510171,-0.03388919158145449,-0.006098977430437389,-0.2609033714249878,-0.2575861144564116,0.00331725696857621
"[-0.5, -0.5, -0.5]",3,2.0,0.1880324185235948,0.1795925074100104,-0.008439911113584414,-0.04508073875037588,-0.0441044154649467,0.0009763232854291815
"[-0.5, -0.5, -0.5]",4,2.0,0.1880325340223816,0.1795925185554214,-0.008440015466960188,-0.0450806232515891,-0.04410440431953569,0.0009762189320534076
"[-0.5, -0.5, -0.5]",5,0.0,0.2819160518471062,0.2754742827487611,-0.006441769098345096,0.048802894573135525,0.051777359873804024,0.0029744653006684996
"[-0.5, -0.5, -0.5]",6,0.0,0.348448495815895,0.3443739803485487,-0.004074515467346274,0.11533533854192429,0.12067705747359161,0.005341718931667322
"[-0.5, -0.5, -0.5]",7,0.0,0.3484486158177217,0.3443739895978891,-0.004074626219832567,0.11533545854375099,0.12067706672293202,0.005341608179181029
"[-0.5, -0.5, -0.5]",8,0.0,0.5001597589983169,0.4991436417673618,-0.0010161172309550714,0.2670466017243462,0.2754467188924047,0.008400117168058496
