k_fractional,band,occupation,before_ha,after_ha,raw_delta_ha,before_gamma_reference_ha,after_gamma_reference_ha,gamma_reference_delta_ha
"[-0.5, 0, -0.5]",7,0.0,0.5970199745962329,0.5970164926320344,-3.4819641985261995e-06,0.3639054722985223,0.3639025130676731,-2.9592308492532027e-06
"[-0.5, 0, -0.5]",8,0.0,0.5970200165828193,0.5970165907906123,-3.425792207023548e-06,0.36390551428510876,0.363902611226251,-2.903058857750551e-06
"[-0.5, -0.5, 0]",1,2.0,-0.05611453886981001,-0.05611538720370172,-8.483338917106287e-07,-0.28922904116752063,-0.28922936676806305,-3.2560054241681513e-07
"[-0.5, -0.5, 0]",2,2.0,-0.05611440256107382,-0.0561153320944254,-9.295333515818571e-07,-0.28922890485878444,-0.28922931165878674,-4.068000022949825e-07
"[-0.5, -0.5, 0]",3,2.0,0.1254166072437334,0.125415901303315,-7.059404183995532e-07,-0.1076978950539772,-0.1076980782610463,-1.832070690988008e-07
"[-0.5, -0.5, 0]",4,2.0,0.1254166567634788,0.1254159343185167,-7.224449621034967e-07,-0.10769784553423181,-0.10769804524584461,-1.997116128027443e-07
"[-0.5, -0.5, 0]",5,0.0,0.2483786025114478,0.2483785879083041,-1.4603143694280618e-08,0.015264100213737197,0.015264608343942804,5.081302056064718e-07
"[-0.5, -0.5, 0]",6,0.0,0.2483786856199515,0.2483785957862836,-8.983366789339087e-08,0.015264183322240887,0.015264616221922295,4.3289968140736157e-07
"[-0.5, -0.5, 0]",7,0.0,0.5970199802700523,0.5970165308400989,-3.4494299534504336e-06,0.36390547797234174,0.36390255127573756,-2.9266966041774367e-06
"[-0.5, -0.5, 0]",8,0.0,0.597020013122535,0.5970165484819093,-3.4646406257277107e-06,0.3639055108248245,0.363902568917548,-2.941907276454714e-06
"[-0.5, -0.5, -0.5]",1,2.0,-0.1224931590590292,-0.1224940460822532,-8.87023223997141e-07,-0.3556076613567398,-0.35560802564661453,-3.642898747102663e-07
"[-0.5, -0.5, -0.5]",2,2.0,-0.02778856159006763,-0.02778942965469825,-8.680646306213902e-07,-0.26090306388777823,-0.2609034092190596,-3.453312813483933e-07
"[-0.5, -0.5, -0.5]",3,2.0,0.1880336743698371,0.1880332391179924,-4.352518446770759e-07,-0.04508082792787352,-0.045080740446368894,8.748150462367654e-08
"[-0.5, -0.5, -0.5]",4,2.0,0.1880338900979496,0.1880333752735034,-5.148244462127582e-07,-0.045080612199761005,-0.04508060429085792,7.90890308799419e-09
"[-0.5, -0.5, -0.5]",5,0.0,0.2819177658377414,0.2819168635735547,-9.022641866973657e-07,0.04880326354003081,0.048802884009193415,-3.795308373966133e-07
"[-0.5, -0.5, -0.5]",6,0.0,0.3484490886015432,0.3484488684374592,-2.201640840193697e-07,0.11533458630383261,0.1153348888730979,3.0256926528138273e-07
"[-0.5, -0.5, -0.5]",7,0.0,0.3484492828352531,0.3484490405667803,-2.4226847283870256e-07,0.11533478053754251,0.11533506100241897,2.8046487646204987e-07
"[-0.5, -0.5, -0.5]",8,0.0,0.5001595999689088,0.5001598436200523,2.436511434833477e-07,0.2670450976711982,0.267045864055691,7.663844927563446e-07
