kpoint_index,k_fractional,band,occupation,dftk_ha,qe_ha,delta_ha,dftk_global_reference_ha,qe_global_reference_ha,global_reference_delta_ha,independent_C_residual_ha
4,"[0, 0, -0.25]",3,2.0,0.14626336968691023,0.1956665936125819,-0.049403223925671674,-0.028030315335139055,-0.028030329262375198,1.3927236142130539e-08,-4.912702357973142e-07
4,"[0, 0, -0.25]",4,2.0,0.14626336968692055,0.1956666100341494,-0.049403240347228844,-0.02803031533512873,-0.028030312840807703,-2.494321027501911e-09,-5.076917929669467e-07
4,"[0, 0, -0.25]",5,0.0,0.2444496715195785,0.2938529326780419,-0.04940326115846341,0.07015598649752922,0.07015600980308481,-2.3305555596486727e-08,-5.285030275359315e-07
4,"[0, 0, -0.25]",6,0.0,0.3012809535219712,0.3506842113654107,-0.04940325784343952,0.12698726849992192,0.12698728849045363,-1.9990531702207548e-08,-5.251880036416523e-07
4,"[0, 0, -0.25]",7,0.0,0.3012809535219797,0.3506842170847818,-0.04940326356280211,0.12698726849993042,0.1269872942098247,-2.5709894296843672e-08,-5.309073662362884e-07
4,"[0, 0, -0.25]",8,0.0,0.42218359041655296,0.4715868376517947,-0.049403247235241754,0.24788990539450367,0.2478899147768376,-9.382333937546505e-09,-5.145798058769913e-07
5,"[0, 0.25, 0]",1,2.0,-0.23643877387469364,-0.1870355278527327,-0.049403246021960945,-0.4107324588967429,-0.4107324507276898,-8.169053100637313e-09,-5.133665250678376e-07
5,"[0, 0.25, 0]",2,2.0,0.02890642675893357,0.07830967725823862,-0.04940325049930505,-0.14538725826311572,-0.14538724561671848,-1.2646397234972184e-08,-5.178438691744169e-07
5,"[0, 0.25, 0]",3,2.0,0.14626336968691583,0.1956665946038832,-0.04940322491696736,-0.02803031533513345,-0.028030328271073907,1.293594045770341e-08,-4.922615314817413e-07
5,"[0, 0.25, 0]",4,2.0,0.1462633696869208,0.195666606019008,-0.04940323633208721,-0.02803031533512848,-0.02803031685594909,1.5208206083361375e-09,-5.036766513311086e-07
5,"[0, 0.25, 0]",5,0.0,0.24444967151957625,0.2938529277481904,-0.049403256228614134,0.07015598649752697,0.07015600487323329,-1.8375706317685925e-08,-5.235731782571307e-07
5,"[0, 0.25, 0]",6,0.0,0.30128095352197914,0.3506842115488967,-0.04940325802691753,0.12698726849992986,0.12698728867393957,-2.0174009712770058e-08,-5.253714816522148e-07
5,"[0, 0.25, 0]",7,0.0,0.3012809535219881,0.3506842130678363,-0.04940325954584823,0.1269872684999388,0.12698729019287922,-2.1692940416206952e-08,-5.268904123556517e-07
5,"[0, 0.25, 0]",8,0.0,0.4221835904165477,0.4715868407754542,-0.049403250358906525,0.2478899053944984,0.2478899179004971,-1.2505998708833843e-08,-5.177034706482786e-07
6,"[0, 0.25, 0.25]",1,2.0,-0.226072289529674,-0.1766690430240955,-0.04940324650557851,-0.4003659745517233,-0.4003659658990526,-8.65267069105613e-09,-5.138501426305009e-07
