map_index,k_index,target_states,auxiliary_states,ng,initial_source,initial_seed,initial_gram_norm,initial_imaginary_norm,initial_sha256,initial_unchanged,converged,iterations,elapsed_seconds,solver_n_matvec,operator_counts,counts_after_explicit_residual,orthogonality_frobenius,max_explicit_residual_ha
168,2,24,6,2770,Previous map from this run only,63002,1.6768541399869666e-14,3.8805843356823675,28eec81d3af535450c4b7ccc0f276a6d00d20b3bd15dba00108cbab88d10c1a3,True,True,10,0.5074648857116699,210,"{""full_mul_calls"":11,""full_columns"":210,""fr_mul_calls"":11,""fr_columns"":210,""common"":{""operator_mul_calls"":11,""operator_columns"":210,""scalar_mul_calls"":22,""scalar_columns"":420}}","{""full_mul_calls"":12,""full_columns"":234,""fr_mul_calls"":12,""fr_columns"":234,""common"":{""operator_mul_calls"":12,""operator_columns"":234,""scalar_mul_calls"":24,""scalar_columns"":468}}",1.3399427512841855e-14,9.415741220474393e-11
168,3,24,6,2770,Previous map from this run only,63003,1.9290807175542364e-14,3.747916649923332,5a61c6d21c4ba52199ec17618ddbc14ff6c689fd2c66d7a1e0a034df1941652c,True,True,10,0.35868096351623535,210,"{""full_mul_calls"":11,""full_columns"":210,""fr_mul_calls"":11,""fr_columns"":210,""common"":{""operator_mul_calls"":11,""operator_columns"":210,""scalar_mul_calls"":22,""scalar_columns"":420}}","{""full_mul_calls"":12,""full_columns"":234,""fr_mul_calls"":12,""fr_columns"":234,""common"":{""operator_mul_calls"":12,""operator_columns"":234,""scalar_mul_calls"":24,""scalar_columns"":468}}",1.5933447444525997e-14,9.440976187202953e-11
169,1,24,6,2777,Previous map from this run only,63001,2.0404232605816917e-14,3.812000166645282,7450c84696ce8ded7edd341f2b87e43f932aed2d0675dc4e26b61b2a8c9ea364,True,True,7,0.31432604789733887,183,"{""full_mul_calls"":8,""full_columns"":183,""fr_mul_calls"":8,""fr_columns"":183,""common"":{""operator_mul_calls"":8,""operator_columns"":183,""scalar_mul_calls"":16,""scalar_columns"":366}}","{""full_mul_calls"":9,""full_columns"":207,""fr_mul_calls"":9,""fr_columns"":207,""common"":{""operator_mul_calls"":9,""operator_columns"":207,""scalar_mul_calls"":18,""scalar_columns"":414}}",1.2762655573960601e-14,9.670622511227151e-11
169,2,24,6,2770,Previous map from this run only,63002,1.7399530550382498e-14,3.9432361953580894,2ed4df9f6b603ddf33827609099a8fbe09f4e7140202db3f617b864422a2ac72,True,True,10,0.34871411323547363,210,"{""full_mul_calls"":11,""full_columns"":210,""fr_mul_calls"":11,""fr_columns"":210,""common"":{""operator_mul_calls"":11,""operator_columns"":210,""scalar_mul_calls"":22,""scalar_columns"":420}}","{""full_mul_calls"":12,""full_columns"":234,""fr_mul_calls"":12,""fr_columns"":234,""common"":{""operator_mul_calls"":12,""operator_columns"":234,""scalar_mul_calls"":24,""scalar_columns"":468}}",1.357948395802155e-14,8.564027165084173e-11
169,3,24,6,2770,Previous map from this run only,63003,1.8231519322258704e-14,4.042529346712563,edcfe5b369224a39470514542379f9912fa18d7efa0e21faa475e24b7ddcf35e,True,True,10,0.3604850769042969,210,"{""full_mul_calls"":11,""full_columns"":210,""fr_mul_calls"":11,""fr_columns"":210,""common"":{""operator_mul_calls"":11,""operator_columns"":210,""scalar_mul_calls"":22,""scalar_columns"":420}}","{""full_mul_calls"":12,""full_columns"":234,""fr_mul_calls"":12,""fr_columns"":234,""common"":{""operator_mul_calls"":12,""operator_columns"":234,""scalar_mul_calls"":24,""scalar_columns"":468}}",1.5431361530225384e-14,8.770871212681892e-11
170,1,24,6,2777,Previous map from this run only,63001,1.6674646529552168e-14,3.937807718414323,03dffb1bbfa7eaafd9b2009b0209034f69a1cf1434bbd471a57bac125bbde392,True,True,7,0.31385302543640137,184,"{""full_mul_calls"":8,""full_columns"":184,""fr_mul_calls"":8,""fr_columns"":184,""common"":{""operator_mul_calls"":8,""operator_columns"":184,""scalar_mul_calls"":16,""scalar_columns"":368}}","{""full_mul_calls"":9,""full_columns"":208,""fr_mul_calls"":9,""fr_columns"":208,""common"":{""operator_mul_calls"":9,""operator_columns"":208,""scalar_mul_calls"":18,""scalar_columns"":416}}",1.1418421365120284e-14,5.785853093857061e-11
170,2,24,6,2770,Previous map from this run only,63002,1.9865046994934958e-14,3.790290316333615,6448c7e16eeec1c5654b9ccedd331bb583000524f8201c1e6bb69d1d670f62c9,True,True,10,0.3517138957977295,208,"{""full_mul_calls"":11,""full_columns"":208,""fr_mul_calls"":11,""fr_columns"":208,""common"":{""operator_mul_calls"":11,""operator_columns"":208,""scalar_mul_calls"":22,""scalar_columns"":416}}","{""full_mul_calls"":12,""full_columns"":232,""fr_mul_calls"":12,""fr_columns"":232,""common"":{""operator_mul_calls"":12,""operator_columns"":232,""scalar_mul_calls"":24,""scalar_columns"":464}}",1.6309292141278797e-14,9.79178656403221e-11
170,3,24,6,2770,Previous map from this run only,63003,1.9053014183359416e-14,3.9123548872380995,4d53185aeb1b025941f7ede3c6d636a8eb1f80687f8eb1bb844ee2c220803b84,True,True,10,0.3750581741333008,208,"{""full_mul_calls"":11,""full_columns"":208,""fr_mul_calls"":11,""fr_columns"":208,""common"":{""operator_mul_calls"":11,""operator_columns"":208,""scalar_mul_calls"":22,""scalar_columns"":416}}","{""full_mul_calls"":12,""full_columns"":232,""fr_mul_calls"":12,""fr_columns"":232,""common"":{""operator_mul_calls"":12,""operator_columns"":232,""scalar_mul_calls"":24,""scalar_columns"":464}}",1.4872882164748636e-14,9.064105145422023e-11
171,1,24,6,2777,Previous map from this run only,63001,1.6235548074214717e-14,3.7507610859123504,8e2fc9391861f847b21e0896bfc48851826c1e426c1026e765f3425e0824954e,True,True,7,0.30807995796203613,182,"{""full_mul_calls"":8,""full_columns"":182,""fr_mul_calls"":8,""fr_columns"":182,""common"":{""operator_mul_calls"":8,""operator_columns"":182,""scalar_mul_calls"":16,""scalar_columns"":364}}","{""full_mul_calls"":9,""full_columns"":206,""fr_mul_calls"":9,""fr_columns"":206,""common"":{""operator_mul_calls"":9,""operator_columns"":206,""scalar_mul_calls"":18,""scalar_columns"":412}}",1.3130628170565405e-14,8.995753820556066e-11
171,2,24,6,2770,Previous map from this run only,63002,1.9518563786974882e-14,3.686180127079079,1720e1d0654f73029be9f12b4052e97a423e18847e56e40526e61cfb15d7c894,True,True,10,0.350506067276001,208,"{""full_mul_calls"":11,""full_columns"":208,""fr_mul_calls"":11,""fr_columns"":208,""common"":{""operator_mul_calls"":11,""operator_columns"":208,""scalar_mul_calls"":22,""scalar_columns"":416}}","{""full_mul_calls"":12,""full_columns"":232,""fr_mul_calls"":12,""fr_columns"":232,""common"":{""operator_mul_calls"":12,""operator_columns"":232,""scalar_mul_calls"":24,""scalar_columns"":464}}",1.2728975646675511e-14,9.593402847521121e-11
