reference,k_index,coordinate_fractional,band_index,reference_eigenvalue_ha,qe_eigenvalue_ha,reference_occupation,qe_occupation,reference_group,occupation_classification_matches,raw_difference_ha,raw_difference_ev,global_reference_difference_ha,global_reference_difference_ev
A,2,"[0.125,0.0625,-0.1875]",16,0.04715374489845958,0.05633580210571738,1.5127381942527751e-55,1.166532316138813e-55,empty,True,-0.009182057207257795,-0.24985650519938546,6.587809290525826e-06,0.0001792634231193603
A,2,"[0.125,0.0625,-0.1875]",17,0.09932708162399045,0.1085136426297656,3.3202556921120854e-78,2.548875114859466e-78,empty,True,-0.00918656100577514,-0.24997905980041504,2.084010773173439e-06,5.6708822089607956e-05
A,2,"[0.125,0.0625,-0.1875]",18,0.09932712922874111,0.1085136677723565,3.3200976359298224e-78,2.54881103034108e-78,empty,True,-0.009186538543615397,-0.24997844857391033,2.1064729329167697e-06,5.732004859430265e-05
A,2,"[0.125,0.0625,-0.1875]",19,0.1254630868179494,0.1346439629149658,1.4806373317385305e-89,0.0,empty,True,-0.0091808760970164,-0.24982436555240778,7.768919531914165e-06,0.00021140307009686224
A,2,"[0.125,0.0625,-0.1875]",20,0.12546311410906583,0.1346439960287215,1.4805969240441155e-89,0.0,empty,True,-0.009180881919655687,-0.2498245239944944,7.76309689259902e-06,0.0002112446280094868
A,2,"[0.125,0.0625,-0.1875]",21,0.1473767408326345,0.1565643998712954,4.502665433093433e-99,0.0,empty,True,-0.009187659038660895,-0.25000893879738006,9.859778873910763e-07,2.6829825123794936e-05
A,2,"[0.125,0.0625,-0.1875]",22,0.14737674642721404,0.1565644464530587,4.502640242644147e-99,0.0,empty,True,-0.009187700025844653,-0.25001005411546845,9.449907036329641e-07,2.5714507035417946e-05
A,2,"[0.125,0.0625,-0.1875]",23,0.17155259743929263,0.1807379133750102,1.4257013430024992e-109,0.0,empty,True,-0.009185315935717558,-0.24994517971817487,3.329080830782871e-06,9.058890433052402e-05
A,2,"[0.125,0.0625,-0.1875]",24,0.17155260460469213,0.1807379226880313,1.4256911273194156e-109,0.0,empty,True,-0.009185318083339167,-0.24994523815793596,3.3269332091467874e-06,9.053046456867432e-05
A,3,"[-0.125,-0.0625,0.1875]",1,-3.299032999676554,-3.28985316957709,1.0,1.0,occupied,True,-0.009179830099463882,-0.24979590250899386,8.814917084265517e-06,0.00023986611350624562
A,3,"[-0.125,-0.0625,0.1875]",2,-3.2990329996123213,-3.289853169487353,1.0,1.0,occupied,True,-0.009179830124968369,-0.24979590320300632,8.814891579778106e-06,0.00023986541949378768
A,3,"[-0.125,-0.0625,0.1875]",3,-1.669839418322202,-1.660668305506527,1.0,1.0,occupied,True,-0.009171112815675064,-0.24955869313280052,1.7532200873082715e-05,0.00047707548969957905
A,3,"[-0.125,-0.0625,0.1875]",4,-1.6698392843971481,-1.660667837996386,1.0,1.0,occupied,True,-0.009171446400762173,-0.24956777044545175,1.7198615785973814e-05,0.00046799817704835955
A,3,"[-0.125,-0.0625,0.1875]",5,-1.6617473024401965,-1.652578634576124,1.0,1.0,occupied,True,-0.009168667864072555,-0.24949216261039192,1.9977152475592064e-05,0.0005436060121081912
A,3,"[-0.125,-0.0625,0.1875]",6,-1.6617472310303003,-1.652578307101513,1.0,1.0,occupied,True,-0.00916892392878732,-0.24949913048624936,1.9721087760826705e-05,0.0005366381362507441
A,3,"[-0.125,-0.0625,0.1875]",7,-1.6580719649958695,-1.648907956083682,1.0,1.0,occupied,True,-0.009164008912187604,-0.24936538607114908,2.4636104360542532e-05,0.0006703825513510196
A,3,"[-0.125,-0.0625,0.1875]",8,-1.6580718689108607,-1.648907325718074,1.0,1.0,occupied,True,-0.0091645431927867,-0.2493799245868948,2.410182376144654e-05,0.0006558440356052844
A,3,"[-0.125,-0.0625,0.1875]",9,-0.16186113476060196,-0.1526724901708457,1.0,1.0,occupied,True,-0.009188644589756267,-0.2500357570089014,4.2679204614870514e-10,1.1613603214464963e-08
A,3,"[-0.125,-0.0625,0.1875]",10,-0.16186113205372762,-0.1526724870371793,1.0,1.0,occupied,True,-0.009188645016548314,-0.25003576862250465,0.0,0.0
A,3,"[-0.125,-0.0625,0.1875]",11,0.003712104385955874,0.01289852182662249,1.1123168896563256e-36,8.540197387321608e-37,empty,True,-0.009186417440666617,-0.24997515319479555,2.227575881696975e-06,6.061542770908806e-05
A,3,"[-0.125,-0.0625,0.1875]",12,0.003712145447971891,0.01289860859435563,1.1122712166200988e-36,8.539456405900871e-37,empty,True,-0.009186463146383739,-0.24997639691071782,2.1818701645692773e-06,5.9371711786676737e-05
A,3,"[-0.125,-0.0625,0.1875]",13,0.0269399101290568,0.03612597188764095,9.089095586251232e-47,6.980949853818408e-47,empty,True,-0.009186061758584146,-0.24996547459226867,2.5832579641782427e-06,7.029403023626071e-05
A,3,"[-0.125,-0.0625,0.1875]",14,0.026939963896242047,0.03612605507521738,9.088606904302737e-47,6.980369149672965e-47,empty,True,-0.009186091178975331,-0.24996627516189673,2.5538375729716734e-06,6.949346060763089e-05
A,3,"[-0.125,-0.0625,0.1875]",15,0.047153697603365755,0.05633573850648024,1.5128097410394711e-55,1.166606509063513e-55,empty,True,-0.009182040903114488,-0.24985606154104456,6.604113433839043e-06,0.0001797070814604661
A,3,"[-0.125,-0.0625,0.1875]",16,0.04715374489845976,0.0563358021057172,1.5127381942524741e-55,1.166532316139012e-55,empty,True,-0.00918205720725744,-0.24985650519937583,6.587809290886648e-06,0.00017926342312917878
A,3,"[-0.125,-0.0625,0.1875]",17,0.0993270816239906,0.1085136426297659,3.3202556921115192e-78,2.548875114858886e-78,empty,True,-0.009186561005775293,-0.24997905980041918,2.0840107730069057e-06,5.670882208507635e-05
A,3,"[-0.125,-0.0625,0.1875]",18,0.0993271292287407,0.1085136677723561,3.3200976359312376e-78,2.54881103034195e-78,empty,True,-0.00918653854361541,-0.24997844857391072,2.1064729328612586e-06,5.732004859279211e-05
A,3,"[-0.125,-0.0625,0.1875]",19,0.1254630868179488,0.1346439629149657,1.4806373317394142e-89,0.0,empty,True,-0.009180876097016899,-0.24982436555242138,7.768919531414564e-06,0.00021140307008326743
A,3,"[-0.125,-0.0625,0.1875]",20,0.1254631141090662,0.1346439960287221,1.4805969240436106e-89,0.0,empty,True,-0.009180881919655909,-0.24982452399450045,7.763096892432486e-06,0.0002112446280049552
A,3,"[-0.125,-0.0625,0.1875]",21,0.1473767408326341,0.1565643998712954,4.502665433095225e-99,0.0,empty,True,-0.009187659038661283,-0.25000893879739067,9.859778870024982e-07,2.682982511322119e-05
A,3,"[-0.125,-0.0625,0.1875]",22,0.14737674642721338,0.156564446453059,4.50264024264709e-99,0.0,empty,True,-0.009187700025845624,-0.2500100541154949,9.449907026892745e-07,2.5714507009738844e-05
A,3,"[-0.125,-0.0625,0.1875]",23,0.171552597439293,0.1807379133750099,1.425701343001932e-109,0.0,empty,True,-0.00918531593571692,-0.2499451797181575,3.329080831393494e-06,9.05889043471399e-05
A,3,"[-0.125,-0.0625,0.1875]",24,0.1715526046046924,0.1807379226880312,1.4256911273190105e-109,0.0,empty,True,-0.009185318083338806,-0.24994523815792616,3.3269332094798543e-06,9.053046457773753e-05
B,1,"[0.0,0.0,0.0]",1,-3.299210557192533,-3.290030681128612,1.0,1.0,occupied,True,-0.00917987606392101,-0.2497971532655904,8.768952412196995e-06,0.00023861535106091923
B,1,"[0.0,0.0,0.0]",2,-3.299210557192532,-3.290030681128612,1.0,1.0,occupied,True,-0.009179876063920123,-0.24979715326556623,8.768952413085174e-06,0.0002386153510850878
B,1,"[0.0,0.0,0.0]",3,-1.6706679272848615,-1.661499453064246,1.0,1.0,occupied,True,-0.009168474220615508,-0.2494868933034882,2.017079571792202e-05,0.0005488753131691556
