reference,k_index,coordinate_fractional,band_index,reference_eigenvalue_ha,qe_eigenvalue_ha,reference_occupation,qe_occupation,reference_group,occupation_classification_matches,raw_difference_ha,raw_difference_ev,global_reference_difference_ha,global_reference_difference_ev
B,2,"[0.125,0.0625,-0.1875]",19,0.12546308681829366,0.1346437657290281,1.4806373320498128e-89,0.0,empty,True,-0.00918067891073443,-0.2498189998403267,7.860405906057188e-06,0.0002138925411599124
B,2,"[0.125,0.0625,-0.1875]",20,0.12546311410941113,0.1346437988282393,1.4805969243538324e-89,0.0,empty,True,-0.009180684718828158,-0.2498191578866085,7.854597812384512e-06,0.00021373449487963235
B,2,"[0.125,0.0625,-0.1875]",21,0.1473767408331712,0.1565641636048399,4.5026654331735445e-99,0.0,empty,True,-0.009187422771668702,-0.25000250964499837,1.116544971813127e-06,3.0382736489014968e-05
B,2,"[0.125,0.0625,-0.1875]",22,0.14737674642775125,0.1565642101825332,4.5026402427218255e-99,0.0,empty,True,-0.009187463754781938,-0.2500036248523222,1.0755618585767124e-06,2.9267529165176114e-05
B,2,"[0.125,0.0625,-0.1875]",23,0.17155259744008075,0.1807375760546496,1.425701342669377e-109,0.0,empty,True,-0.00918497861456885,-0.24993600074210845,3.5607020716366122e-06,9.689163937816856e-05
B,2,"[0.125,0.0625,-0.1875]",24,0.17155260460548016,0.1807375853714006,1.425691126986377e-109,0.0,empty,True,-0.009184980765920447,-0.2499360592833677,3.558550720095255e-06,9.68330981204258e-05
B,3,"[-0.125,-0.0625,0.1875]",1,-3.2990329996764305,-3.289852521486123,1.0,1.0,occupied,True,-0.00918047819030754,-0.24981353795926312,8.061126332670199e-06,0.0002193544222159371
B,3,"[-0.125,-0.0625,0.1875]",2,-3.2990329996121917,-3.289852521396669,1.0,1.0,occupied,True,-0.00918047821552248,-0.24981353864539663,8.061101117728953e-06,0.0002193537360824317
B,3,"[-0.125,-0.0625,0.1875]",3,-1.6698394183220608,-1.660667862321851,1.0,1.0,occupied,True,-0.009171556000209913,-0.24957075279835653,1.698331643051887e-05,0.0004621395831285643
B,3,"[-0.125,-0.0625,0.1875]",4,-1.6698392843970074,-1.660667394793037,1.0,1.0,occupied,True,-0.009171889603970307,-0.24957983061913372,1.6649712670124828e-05,0.00045306176235137034
B,3,"[-0.125,-0.0625,0.1875]",5,-1.6617473024400644,-1.652578195115483,1.0,1.0,occupied,True,-0.009169107324581427,-0.24950412094003868,1.94319920590047e-05,0.0005287714414464124
B,3,"[-0.125,-0.0625,0.1875]",6,-1.6617472310301666,-1.652577867628054,1.0,1.0,occupied,True,-0.009169363402112607,-0.24951108916464854,1.9175914527824744e-05,0.0005218032168365575
B,3,"[-0.125,-0.0625,0.1875]",7,-1.6580719649957438,-1.648907532663825,1.0,1.0,occupied,True,-0.009164432331918881,-0.24937690790900102,2.4106984721550262e-05,0.0006559844724840669
B,3,"[-0.125,-0.0625,0.1875]",8,-1.6580718689107352,-1.648906902270173,1.0,1.0,occupied,True,-0.009164966640562211,-0.24939144718786924,2.3572676078220667e-05,0.0006414451936158592
B,3,"[-0.125,-0.0625,0.1875]",9,-0.16186113476038647,-0.1526725958691943,1.0,1.0,occupied,True,-0.009188538891192172,-0.2500328808044482,4.254483154664257e-10,1.1577038439858881e-08
B,3,"[-0.125,-0.0625,0.1875]",10,-0.1618611320535128,-0.1526725927368723,1.0,1.0,occupied,True,-0.009188539316640487,-0.2500328923814866,0.0,0.0
B,3,"[-0.125,-0.0625,0.1875]",11,0.0037121043868500146,0.01289820562772123,1.1123168892785072e-36,8.542898215329062e-37,empty,True,-0.009186101240871216,-0.249966548960032,2.4380757692732402e-06,6.63434214546614e-05
